nb_number_of_cycles_to_return_interacted_agent,nb_max_number_of_visits_to_a_interacted_agent,nb_min_distance_to_exclude,performance
60,1,10,2135
83,1,10,2102
60,2,10,2093
60,1,14,2091
60,2,14,2068
83,1,14,2142
83,2,10,2131
83,2,14,2149
85,3,5,2094
58,3,5,2113
85,4,5,2134
85,3,9,2071
85,4,9,2086
58,3,9,2103
58,4,5,2020
58,4,9,2084
98,2,12,2123
96,2,12,2167
98,3,12,2132
98,2,6,2096
98,3,6,2115
96,2,6,2041
96,3,12,2119
96,3,6,2097
73,4,7,2099
71,4,7,2155
73,1,7,2108
73,4,11,2113
73,1,11,2122
71,4,11,2040
71,1,7,2056
71,1,11,2149
67,2,6,2054
65,2,6,2102
67,1,6,2154
67,2,12,2090
67,1,12,2154
65,2,12,2105
65,1,6,2052
65,1,12,2087
92,4,11,2048
90,4,11,2114
92,3,11,2148
92,4,7,2158
92,3,7,2103
90,4,7,2112
90,3,11,2123
90,3,7,1947
79,1,8,2043
52,1,8,2076
79,4,8,2081
79,1,5,2113
79,4,5,2113
52,1,5,2107
52,4,8,2159
52,4,5,2066
54,3,13,2167
77,3,13,2126
54,2,13,2125
54,3,10,2065
54,2,10,2138
77,3,10,2114
77,2,13,2058
77,2,10,2050
53,1,5,2010
72,1,5,2153
53,3,5,2089
53,1,7,2149
53,3,7,2093
72,1,7,2068
72,3,5,2145
72,3,7,2150
78,3,10,2081
97,3,10,2136
78,1,10,2092
78,3,12,2037
78,1,12,2092
97,3,12,2060
97,1,10,2117
97,1,12,2096
90,2,7,2085
60,2,7,2095
90,2,7,2085
90,2,10,2099
90,2,10,2099
60,2,10,2093
60,2,7,2095
60,2,10,2093
65,4,12,2106
85,4,12,2143
65,4,12,2106
65,4,5,2089
65,4,5,2089
85,4,5,2134
85,4,12,2143
85,4,5,2134
71,2,11,2081
79,2,11,2162
71,4,11,2040
71,2,8,2057
71,4,8,2163
79,2,8,2147
79,4,11,2129
79,4,8,2081
96,4,6,2011
54,4,6,2136
96,2,6,2041
96,4,13,2076
96,2,13,2130
54,4,13,2135
54,2,6,2095
54,2,13,2125
84,1,14,2068
91,1,14,2124
84,1,14,2068
84,1,11,2118
84,1,11,2118
91,1,11,2150
91,1,14,2124
91,1,11,2150
59,3,9,2086
66,3,9,2144
59,3,9,2086
59,3,6,2100
59,3,6,2100
66,3,6,2127
66,3,9,2144
66,3,6,2127
56,2,14,2067
51,2,14,2131
56,1,14,2039
56,2,5,2055
56,1,5,2133
51,2,5,2123
51,1,14,2076
51,1,5,2101
81,4,9,2097
76,4,9,2087
81,3,9,2080
81,4,10,2117
81,3,10,2062
76,4,10,2085
76,3,9,2140
76,3,10,2080
93,1,12,2143
63,1,12,2170
93,4,12,2088
93,1,13,2095
93,4,13,2152
63,1,13,2141
63,4,12,2070
63,4,13,2132
68,3,7,2129
88,3,7,2085
68,2,7,2053
68,3,8,2121
68,2,8,2140
88,3,8,2153
88,2,7,2118
88,2,8,2132
62,1,8,2130
94,1,8,2141
62,2,8,2101
62,1,6,2169
62,2,6,2003
94,1,6,2143
94,2,8,2123
94,2,6,2117
87,3,13,2100
69,3,13,2014
87,4,13,2078
87,3,11,2117
87,4,11,2077
69,3,11,2088
69,4,13,2123
69,4,11,2056
75,2,6,2130
82,2,6,2137
75,3,6,2100
75,2,14,2107
75,3,14,2124
82,2,14,2138
82,3,6,2155
82,3,14,2100
50,4,11,2063
57,4,11,2152
50,1,11,2056
50,4,9,2062
50,1,9,2143
57,4,9,2079
57,1,11,2126
57,1,9,2114
50,2,9,2043
74,2,9,2112
50,3,9,2048
50,2,13,2149
50,3,13,2088
74,2,13,2056
74,3,9,2117
74,3,13,2121
75,4,14,2140
99,4,14,2145
75,1,14,2126
75,4,8,2133
75,1,8,2150
99,4,8,1973
99,1,14,2112
99,1,8,2129
87,1,6,2120
61,1,6,2167
87,2,6,2039
87,1,5,2152
87,2,5,2018
61,1,5,2095
61,2,6,2042
61,2,5,2035
62,3,11,2140
86,3,11,2039
62,4,11,2071
62,3,10,2138
62,4,10,2165
86,3,10,2017
86,4,11,2107
86,4,10,2149
68,1,13,2122
80,1,13,2176
68,4,13,2121
68,1,14,2069
68,4,14,2066
80,1,14,2026
80,4,13,2106
80,4,14,2118
93,3,8,2004
55,3,8,2103
93,2,8,2137
93,3,9,2099
93,2,9,2120
55,3,9,2142
55,2,8,2159
55,2,9,2158
81,2,10,2040
93,2,10,2118
81,1,10,2119
81,2,7,2145
81,1,7,2132
93,2,7,2099
93,1,10,2151
93,1,7,2132
56,4,5,2113
68,4,5,2117
56,3,5,2156
56,4,12,2113
56,3,12,2170
68,4,12,2029
68,3,5,2150
68,3,12,2106
59,1,10,2080
52,1,10,2089
59,1,10,2080
59,1,10,2080
59,1,10,2080
52,1,10,2089
52,1,10,2089
52,1,10,2089
84,3,5,2168
77,3,5,2131
84,3,5,2168
84,3,5,2168
84,3,5,2168
77,3,5,2131
77,3,5,2131
77,3,5,2131
96,2,12,2167
64,2,12,2076
96,4,12,2128
96,2,7,2129
96,4,7,2108
64,2,7,2093
64,4,12,2058
64,4,7,2141
71,4,7,2155
89,4,7,2134
71,2,7,2096
71,4,12,2099
71,2,12,2114
89,4,12,2079
89,2,7,2161
89,2,12,2107
65,2,6,2102
96,2,6,2041
65,2,6,2102
65,2,11,2057
65,2,11,2057
96,2,11,2007
96,2,6,2041
96,2,11,2007
90,4,11,2114
71,4,11,2040
90,4,11,2114
90,4,6,2145
90,4,6,2145
71,4,6,1930
71,4,11,2040
71,4,6,1930
78,1,8,2125
83,1,8,2152
78,3,8,2088
78,1,9,2116
78,3,9,2159
83,1,9,2123
83,3,8,2123
83,3,9,2101
53,3,13,2086
58,3,13,2130
53,1,13,2148
53,3,14,2162
53,1,14,2092
58,3,14,2049
58,1,13,2158
58,1,14,2024
54,1,5,2148
91,1,5,2187
54,4,5,2111
54,1,6,2131
54,4,6,2136
91,1,6,2149
91,4,5,2040
91,4,6,2067
79,3,10,2108
66,3,10,2118
79,2,10,2124
79,3,11,2125
79,2,11,2162
66,3,11,2170
66,2,10,2066
66,2,11,2055
92,2,7,2135
79,2,7,2053
92,1,7,2076
92,2,13,2069
92,1,13,2101
79,2,13,2124
79,1,7,2064
79,1,13,2129
67,4,12,2063
54,4,12,2077
67,3,12,2009
67,4,8,2148
67,3,8,2166
54,4,8,2110
54,3,12,2138
54,3,8,2078
73,2,11,2125
60,2,11,2109
73,3,11,2127
73,2,5,2121
73,3,5,2098
60,2,5,2174
60,3,11,2109
60,3,5,2138
98,4,6,2102
85,4,6,2129
98,1,6,2109
98,4,10,2052
98,1,10,2059
85,4,10,2053
85,1,6,2136
85,1,10,2081
86,1,14,2140
72,1,14,2103
86,2,14,2100
86,1,12,2135
86,2,12,2093
72,1,12,2178
72,2,14,2138
72,2,12,2131
61,3,9,2037
97,3,9,2147
61,4,9,2099
61,3,7,2047
61,4,7,2038
97,3,7,2091
97,4,9,2113
97,4,7,2081
57,2,14,2150
82,2,14,2138
57,2,14,2150
57,2,9,2044
57,2,9,2044
82,2,9,2169
82,2,14,2138
82,2,9,2169
82,4,9,2114
57,4,9,2079
82,4,9,2114
82,4,14,2137
82,4,14,2137
57,4,14,2042
57,4,9,2079
57,4,14,2042
95,1,12,2129
94,1,12,2131
95,3,12,2132
95,1,11,2143
95,3,11,2104
94,1,11,2087
94,3,12,2091
94,3,11,2047
70,3,7,2151
69,3,7,2099
70,1,7,2134
70,3,6,2107
70,1,6,2104
69,3,6,2010
69,1,7,2163
69,1,6,2111
64,1,8,2128
63,1,8,2148
64,1,8,2128
64,1,8,2128
64,1,8,2128
63,1,8,2148
63,1,8,2148
63,1,8,2148
89,3,13,2106
88,3,13,2096
89,3,13,2106
89,3,13,2106
89,3,13,2106
88,3,13,2096
88,3,13,2096
88,3,13,2096
76,2,6,2049
50,2,6,2146
76,4,6,2150
76,2,10,2090
76,4,10,2085
50,2,10,2105
50,4,6,2144
50,4,10,2121
51,4,11,2077
75,4,11,2053
51,2,11,2050
51,4,5,2112
51,2,5,2123
75,4,5,2124
75,2,11,2055
75,2,5,2094
52,1,12,2061
96,1,12,2109
52,3,12,2063
52,1,7,2121
52,3,7,2138
96,1,7,2139
96,3,12,2119
96,3,7,2098
77,3,7,2011
71,3,7,2123
77,1,7,2166
77,3,12,2163
77,1,12,2095
71,3,12,2089
71,1,7,2056
71,1,12,2079
89,2,10,2158
84,2,10,2111
89,2,10,2158
89,2,14,2126
89,2,14,2126
84,2,14,2036
84,2,10,2111
84,2,14,2036
64,4,5,2146
59,4,5,2021
64,4,5,2146
64,4,9,2086
64,4,9,2086
59,4,9,2126
59,4,5,2021
59,4,9,2126
71,2,9,2044
53,2,9,2118
71,4,9,2088
71,2,5,2097
71,4,5,2120
53,2,5,2054
