PERFORMANCE,DESCRICAO,SCENARIO,MARKET-TYPE,MBTI,E-I,S-N,T-F,J-P,SEED,TOTAL-DEMAND,CYCLES-TO-RETURN,MAX-VISITS-TO-AGENT,MIN-DISTANCE-TO-EXCLUDE
2009,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2016,4688,75,3,10
2027,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2016,4688,75,3,10
2001,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2016,4688,75,3,10
2083,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2016,4688,75,3,10
1997,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2016,4688,75,3,10
2070,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2017,4688,75,3,10
2009,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2016,4688,75,3,10
2005,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2016,4688,75,3,10
2011,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2016,4688,75,3,10
2113,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2016,4688,75,3,10
2099,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2016,4688,75,3,10
2089,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2016,4688,75,3,10
2030,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2016,4688,75,3,10
1970,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2016,4688,75,3,10
2013,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2016,4688,75,3,10
1971,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2016,4688,75,3,10
2007,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2016,4688,75,3,10
1970,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2016,4688,75,3,10
1970,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2016,4688,75,3,10
2000,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2016,4688,75,3,10
1986,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2016,4688,75,3,10
2106,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2017,4688,75,3,10
2112,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2017,4688,75,3,10
2093,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2016,4688,75,3,10
2151,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2017,4688,75,3,10
2112,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2017,4688,75,3,10
2105,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2017,4688,75,3,10
2144,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2017,4688,75,3,10
2112,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2017,4688,75,3,10
2127,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2017,4688,75,3,10
2158,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2017,4688,75,3,10
2163,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2018,4688,75,3,10
2137,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2018,4688,75,3,10
2123,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2018,4688,75,3,10
2125,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2017,4688,75,3,10
2141,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2018,4688,75,3,10
2146,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2018,4688,75,3,10
2146,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2018,4688,75,3,10
2141,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2018,4688,75,3,10
2099,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2017,4688,75,3,10
2108,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2017,4688,75,3,10
2096,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2017,4688,75,3,10
2106,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2017,4688,75,3,10
2107,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2017,4688,75,3,10
2153,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2017,4688,75,3,10
2125,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2017,4688,75,3,10
2129,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2017,4688,75,3,10
2094,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2017,4688,75,3,10
2095,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2017,4688,75,3,10
2106,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2018,4688,75,3,10
2114,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2018,4688,75,3,10
2096,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2018,4688,75,3,10
2129,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2018,4688,75,3,10
2122,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2018,4688,75,3,10
2154,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2018,4688,75,3,10
2094,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2018,4688,75,3,10
2101,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2018,4688,75,3,10
2115,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2018,4688,75,3,10
2104,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2018,4688,75,3,10
2116,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2018,4688,75,3,10
2108,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2018,4688,75,3,10
2112,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2018,4688,75,3,10
2068,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2019,4688,75,3,10
2088,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2019,4688,75,3,10
2057,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2019,4688,75,3,10
2070,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2019,4688,75,3,10
2039,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2020,4688,75,3,10
2121,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2019,4688,75,3,10
2077,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2020,4688,75,3,10
2026,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2020,4688,75,3,10
2022,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2020,4688,75,3,10
2069,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2019,4688,75,3,10
